epoch,sigma,a1,decay_ratio,snr_input,snr_output,snr_gain
1,10,50,0.0,11.06474868476069,24.912935519426938,13.848186834666247
2,10,50,0.0,11.06474868476069,26.48272695783509,15.4179782730744
3,10,50,0.0,11.06474868476069,27.11726041705813,16.05251173229744
5,10,50,0.0,11.06474868476069,27.656353733860158,16.591605049099467
7,10,50,0.0,11.06474868476069,27.64912317961178,16.58437449485109
9,10,50,0.0,11.06474868476069,27.366985855783568,16.302237171022878
10,10,50,0.0,11.06474868476069,27.169620275661917,16.104871590901226
1,10,40,0.2,10.161015045512451,23.97339742274727,13.812382377234817
2,10,40,0.2,10.161015045512451,25.60565193762193,15.444636892109477
3,10,40,0.2,10.161015045512451,26.197071173712942,16.036056128200492
5,10,40,0.2,10.161015045512451,26.73895739164935,16.5779423461369
7,10,40,0.2,10.161015045512451,26.771622832721498,16.610607787209048
9,10,40,0.2,10.161015045512451,26.543565729617953,16.382550684105503
10,10,40,0.2,10.161015045512451,26.37330488628743,16.21228984077498
1,10,20,0.6,8.133601672423028,21.620963164686657,13.487361492263629
2,10,20,0.6,8.133601672423028,23.174271352165707,15.04066967974268
3,10,20,0.6,8.133601672423028,23.479157173378496,15.345555500955468
5,10,20,0.6,8.133601672423028,22.72319420816941,14.589592535746382
7,10,20,0.6,8.133601672423028,21.27788390644623,13.144282234023203
9,10,20,0.6,8.133601672423028,19.822079946307657,11.688478273884629
10,10,20,0.6,8.133601672423028,19.153347078391274,11.019745405968246
1,10,1,0.98,5.996761215322258,10.252521951446488,4.25576073612423
2,10,1,0.98,5.996761215322258,9.468951623880647,3.4721904085583892
3,10,1,0.98,5.996761215322258,8.95779455981636,2.961033344494102
5,10,1,0.98,5.996761215322258,8.134564739754675,2.1378035244324165
7,10,1,0.98,5.996761215322258,7.369592683887235,1.3728314685649767
9,10,1,0.98,5.996761215322258,6.605163280551215,0.6084020652289572
10,10,1,0.98,5.996761215322258,6.232995643722576,0.23623442840031839
