a1,epochs,method,sigma,snr_input,snr_output,snr_gain
20.0,3,GGLR,20,2.113001759143404,2.739644961234608,0.6266432020912043
20.0,3,GGLR,10,8.133601672423028,23.479157173622607,15.345555501199579
20.0,3,GGLR,5,14.154201585702651,29.964377403727323,15.810175818024671
20.0,3,GGLR,2,22.113001759143405,35.01872429494624,12.905722535802834
20.0,3,GGLR,1,28.13360167242303,36.38297556768816,8.249373895265133
20.0,3,GGLR,0.5,34.15420158570265,36.7421634170125,2.5879618313098476
20.0,3,DCNN,20,2.113001759143404,0.3057726687373872,-1.8072290904060166
20.0,3,DCNN,10,8.133601672423028,0.3072788631746379,-7.82632280924839
20.0,3,DCNN,5,14.154201585702651,0.30782202725798913,-13.846379558444662
20.0,3,DCNN,2,22.113001759143405,0.3078876074693532,-21.80511415167405
20.0,3,DCNN,1,28.13360167242303,0.30791082030009886,-27.825690852122932
20.0,3,DCNN,0.5,34.15420158570265,0.3079168097271422,-33.84628477597551
20.0,3,Transformer-Encoder,20,2.113001759143404,1.1596557236362113,-0.9533460355071925
20.0,3,Transformer-Encoder,10,8.133601672423028,1.4255197539104616,-6.708081918512566
20.0,3,Transformer-Encoder,5,14.154201585702651,1.512476492183222,-12.64172509351943
20.0,3,Transformer-Encoder,2,22.113001759143405,1.5305690981818838,-20.582432660961523
20.0,3,Transformer-Encoder,1,28.13360167242303,1.5326087324495954,-26.600992939973434
20.0,3,Transformer-Encoder,0.5,34.15420158570265,1.5339055702272877,-32.62029601547536
